clubQid,club,team,window,phase,buyers,eligibility,opensRelative,pastCycle,pastCycleFor,maxTickets,relevance,confidence,basis,ref,sourceRefs,source,checked,note
Q15786,1. FC Nürnberg,men,home-single-match,1,Members (Mitglieder),members,first; sales open only once the DFL sets the kickoff,Wolfsburg home game: 10.09 11:00,2026-27,,,confirmed,published,N-2;N-3,N3;N4,https://fcn.de/news/artikel/tickets-fuer-heimspiele-des-1-fcn-hier-laeuft-der-vorverkauf/;https://fcn.de/fileadmin/fcn/red/saison_26/Downloads/pdf/VVK_Heimspiel_Hinrunde_202627.pdf,2026-09-23,
Q15786,1. FC Nürnberg,men,home-single-match,2,Season-ticket holders and official fan clubs (DK-Inhaber/OFCN),season-ticket-and-fan-clubs,after the member phase,Wolfsburg home game: 16.09 10:00,2026-27,,,confirmed,published,N-2,N3;N4,https://fcn.de/news/artikel/tickets-fuer-heimspiele-des-1-fcn-hier-laeuft-der-vorverkauf/;https://fcn.de/fileadmin/fcn/red/saison_26/Downloads/pdf/VVK_Heimspiel_Hinrunde_202627.pdf,2026-09-23,
Q15786,1. FC Nürnberg,men,home-single-match,3,Free sale,free-sale,after the DK/OFCN phase,Wolfsburg home game: 17.09 10:00,2026-27,,,confirmed,published,N-2,N3;N4,https://fcn.de/news/artikel/tickets-fuer-heimspiele-des-1-fcn-hier-laeuft-der-vorverkauf/;https://fcn.de/fileadmin/fcn/red/saison_26/Downloads/pdf/VVK_Heimspiel_Hinrunde_202627.pdf,2026-09-23,
Q15786,1. FC Nürnberg,men,derby-home,1,Members (Mitglieder),members,the day the DFL schedules the match,"Opened 5 Nov 2025, the same day the DFL scheduled the December 2025 derby, about 32 days before kickoff",2025-26,,,confirmed,published,N-18,N14,https://fcn.de/news/artikel/derby-am-sonntag-rueckrundenauftakt-samstags/,2026-09-23,
Q15786,1. FC Nürnberg,men,derby-home,2,Season-ticket holders and official fan clubs (DK-Inhaber/OFCN),season-ticket-and-fan-clubs,after the member phase,,2025-26,,,confirmed,published,N-2;N-18,N3;N14,https://fcn.de/news/artikel/tickets-fuer-heimspiele-des-1-fcn-hier-laeuft-der-vorverkauf/;https://fcn.de/news/artikel/derby-am-sonntag-rueckrundenauftakt-samstags/,2026-09-23,"The phase exists because every home game has it (N-2). The PDF gives no date for it at the December 2025 derby, so pastCycle is blank rather than guessed."
Q15786,1. FC Nürnberg,men,derby-home,3,Free sale,free-sale,"after the DK/OFCN phase, if stock remains",,2025-26,,,confirmed,published,N-2;N-17,N3,https://fcn.de/news/artikel/tickets-fuer-heimspiele-des-1-fcn-hier-laeuft-der-vorverkauf/,2026-09-23,The phase exists on paper (N-2). Whether any December 2025 derby ticket actually reached it is UNVERIFIED (N-17) - see club-ticket-rules.csv.
Q15786,1. FC Nürnberg,men,rueckrunde-half-season-ticket,1,Members (Mitglieder),members,first,,2025-26,,,inferred,observed-past-cycle,N-20,N15;N14,https://fcn.de/news/artikel/ab-sofort-fuer-mitglieder-erhaeltlich-die-rueckrunden-dauerkarte/;https://fcn.de/news/artikel/derby-am-sonntag-rueckrundenauftakt-samstags/,2026-09-23,
Q15786,1. FC Nürnberg,men,rueckrunde-half-season-ticket,2,Season-ticket holders and official fan clubs (DK-Inhaber/OFCN),season-ticket-and-fan-clubs,after the member phase,,2025-26,,,inferred,observed-past-cycle,N-20,N15;N14,https://fcn.de/news/artikel/ab-sofort-fuer-mitglieder-erhaeltlich-die-rueckrunden-dauerkarte/;https://fcn.de/news/artikel/derby-am-sonntag-rueckrundenauftakt-samstags/,2026-09-23,
Q15786,1. FC Nürnberg,men,rueckrunde-half-season-ticket,3,Free sale,free-sale,after the DK/OFCN phase,,2025-26,,,inferred,observed-past-cycle,N-20,N15;N14,https://fcn.de/news/artikel/ab-sofort-fuer-mitglieder-erhaeltlich-die-rueckrunden-dauerkarte/;https://fcn.de/news/artikel/derby-am-sonntag-rueckrundenauftakt-samstags/,2026-09-23,
Q631,FC Internazionale Milano,men,derby-home,1,Second Tier Blue season-ticket holders only (their seats go to Milan fans for the derby),second-tier-blue-season-ticket,34 days before kickoff,"Mon 20 Oct 2025, 12:00 CET",2025-26,2,No,confirmed,published,sale-sequence-table,I2;I6,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/it/biglietti/abbonamenti,2026-09-23,"The PDF says every phase opened at 12:00 CET. Two things in the PDF sit against that and are left as printed: phase 7 opened at 10:00, and Italy was on summer time (CEST) until 26 Oct 2025, so 20-25 Oct was CEST. Most likely the club said 12:00 local time. THE PDF GIVES THIS TABLE NO STATUS TAG. It is marked confirmed here because the table is headed with the club's own sources, I2 (its 2025/26 derby sale announcement) and I6 - a judgement made when this row was written, not the PDF's own tag. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,2,FULL season-ticket holders,full-season-ticket,the day after phase 1,"Tue 21 Oct 2025, 12:00 CET",2025-26,2,No,confirmed,published,sale-sequence-table,I2;I6,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/it/biglietti/abbonamenti,2026-09-23,"THE PDF GIVES THIS TABLE NO STATUS TAG. It is marked confirmed here because the table is headed with the club's own sources, I2 (its 2025/26 derby sale announcement) and I6 - a judgement made when this row was written, not the PDF's own tag. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,3,PLUS season-ticket holders + Inter Club PLUS members,plus-season-ticket-and-inter-club-plus,the day after phase 2,"Wed 22 Oct 2025, 12:00 CET",2025-26,2,No,confirmed,published,sale-sequence-table,I2;I6,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/it/biglietti/abbonamenti,2026-09-23,"THE PDF GIVES THIS TABLE NO STATUS TAG. It is marked confirmed here because the table is headed with the club's own sources, I2 (its 2025/26 derby sale announcement) and I6 - a judgement made when this row was written, not the PDF's own tag. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,4,BASE season-ticket holders + Inter Club BASE members,base-season-ticket-and-inter-club-base,the day after phase 3,"Thu 23 Oct 2025, 12:00 CET",2025-26,2,No,confirmed,published,sale-sequence-table,I2;I6,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/it/biglietti/abbonamenti,2026-09-23,"THE PDF GIVES THIS TABLE NO STATUS TAG. It is marked confirmed here because the table is headed with the club's own sources, I2 (its 2025/26 derby sale announcement) and I6 - a judgement made when this row was written, not the PDF's own tag. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,5,"Anyone with a Siamo Noi card issued before the card cutoff, while stock lasts (up to 2 tickets for self and fellow fans)",siamo-noi-card,three days after the first presale opens; runs three days,Fri 24 - Sun 26 Oct 2025; card had to be issued before 16 Oct 2025,2025-26,2,YES: your phase,confirmed,published,sale-sequence-table;I-10;I-11,I2;I6,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/it/biglietti/abbonamenti,2026-09-23,"The PDF's relevance column marks this as Alexandru's phase, because he holds a Siamo Noi card. The card cutoff date is in pastCycle rather than in buyers, because buyers must not hold a date. THE PDF GIVES THIS TABLE NO STATUS TAG. It is marked confirmed here because the table is headed with the club's own sources, I2 (its 2025/26 derby sale announcement) and I6 - a judgement made when this row was written, not the PDF's own tag. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,6,Anyone registered with INTERISTA,interista-registered,the day after the Siamo Noi phase ends,"Mon 27 Oct 2025, 12:00 CET",2025-26,2,Fallback,confirmed,published,sale-sequence-table,I2;I6,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/it/biglietti/abbonamenti,2026-09-23,"THE PDF GIVES THIS TABLE NO STATUS TAG. It is marked confirmed here because the table is headed with the club's own sources, I2 (its 2025/26 derby sale announcement) and I6 - a judgement made when this row was written, not the PDF's own tag. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,7,BPER Mastercard holders,bper-mastercard,the day after the INTERISTA phase,"Tue 28 Oct 2025, 10:00-15:00",2025-26,2,Too late in practice,confirmed,published,sale-sequence-table,I2;I6,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/it/biglietti/abbonamenti,2026-09-23,"THE PDF PRINTS PHASES 7 AND 8 AS ONE TABLE ROW ('BPER Mastercard holders 10:00-15:00, open sale from 16:00'). They are split here because they are two buyer groups in order; the relevance cell is the PDF's single one, repeated. This phase opened at 10:00, which contradicts the PDF's own 'all phases opened 12:00 CET'. THE PDF GIVES THIS TABLE NO STATUS TAG. It is marked confirmed here because the table is headed with the club's own sources, I2 (its 2025/26 derby sale announcement) and I6 - a judgement made when this row was written, not the PDF's own tag. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
