clubQid,club,team,window,label,opensEstimate,estimateFor,dateSource,basis,pastCycle,checked,source,note,scope,opponentQid,ref,sourceRefs
Q15789,FC Bayern München,men,season-ticket-renewal,Home season ticket (Jahreskarte) renewal and change cycle,early to mid June,2027-28,inferred,observed-past-cycle,"2026-27: Reservierungsanschreiben ""ca. Anfang bis Mitte Juni"", for 26/27 stated as ""voraussichtlich Mitte Juni 2026""; changes to a Jahreskarte handled ""ca. Anfang Juni bis Ende Juni""; ADK answers sent ""Anfang Juni"" after the 28.05.2026 order deadline.",2026-09-19,https://fcbayern.com/de/tickets/jahreskarten;https://fcbayern.com/de/tickets/faq-jahreskarten,"SEASON-TICKET CLOCK. This row is one half of the split that closed out the old single ""late June"" estimate, which was two clocks read as one: this is the Jahreskarte cycle, and bundesliga-single-match is the per-match one. THE ANCHOR IS THE SEASON ENDING, NOT THE FIXTURE LIST. A season runs 1 July to 30 June and every date the club gives for this cycle hangs off that, which is why the DFL publishing the 26/27 fixture list on 2 July 2026 was never evidence against a June window - it is evidence about a different product. THE CLUB'S OWN WORDS, for the 26/27 cycle: the Reservierungsanschreiben goes out ""ca. Anfang bis Mitte Juni"" and for 26/27 ""voraussichtlich Mitte Juni 2026""; ""alle Aenderungen fuer die Jahreskarte koennen immer in der Saisonvorbereitung durchgefuehrt werden, ca. Anfang Juni bis Ende Juni, dies haengt vom Saisonende ab""; and the ADK Zu- und Absagen went out ""Anfang Juni"". HOW THOSE PAGES WERE READ: not from fcbayern.com, which answers HTTP 403 from AkamaiGHost to this infrastructure and was not retried, but from Internet Archive copies - Jahreskarten captured 2026-06-08, FAQ-Jahreskarten 2026-06-14, Auswaerts-Dauerkarte 2026-06-13. CLAUDE.md now carries that as standing policy: the archive is a third party's public record, the same category of source as a news article quoting the club, and not a way round the block. The source column holds the club's own URLs because that is where Alexandru verifies this in an ordinary browser. WHY inferred AND NOT confirmed: nothing read states a date for the 27/28 cycle. What was read describes the 26/27 cycle and the club's general practice, and the club's own words for it are ""ca."" and ""voraussichtlich"". basis is observed-past-cycle because the pattern comes from a cycle somebody actually read, which is a different and stronger claim than the user-supplied estimate this row replaces.",,,,
Q15789,FC Bayern München,men,bundesliga-single-match,Bundesliga single-match requests (home),about six weeks before each match,2027-28,inferred,published,"2026-27: lottery ""ca. 6 Wochen vor jedem Spiel"" per the club's Jahreskarten page, captured 2026-06-08. No opening date for any individual match was read.",2026-09-19,https://fcbayern.com/de/tickets/jahreskarten;https://fcbayern.com/de/tickets,"PER-MATCH CLOCK, AND IT HAS NO CALENDAR DATE AT ALL. This is the other half of the split. There is nothing here to put in a diary once a year, because the window moves with every fixture - a reminder built from this row has to hang off a match, not off a month. WHAT THE CLUB PUBLISHES, from the Jahreskarten page read via an Internet Archive copy captured 2026-06-08: everyone who cannot have a Jahreskarte is sent to the Ticket-Anfrageportal ""bereits vor einer Saison fuer die Spiele Ihrer Wahl"", and ""die Tickets werden im Losverfahren ca. 6 Wochen vor jedem Spiel vergeben"". That also pins down the ""four to six weeks"" in club-tickets.csv at about six. ONE THING THE SIX WEEKS IS NOT, and it matters to anyone setting a reminder from this row: the club's six weeks is when the LOTTERY DRAWS, not when the request window opens. The same page says the portal takes requests before the season starts, so a request has to be IN before the six-week mark rather than made at it. Six weeks is the deadline side of this window; the opening side is ""as soon as the fixture exists"". THIS ROW IS THE HOME CLOCK. Bundesliga away fixtures do not work this way - Alexandru's own football-rules.json says all of them are requested in ONE pre-season window - so they have their own row, bundesliga-away-block. WHY inferred WITH basis published: the six weeks is the club's own published figure, so the basis is published; the date is inferred because there is no date, only a relative one the club itself hedges with ""ca."", and because reading it as the moment to act is a step the page does not take.",,,,
Q15789,FC Bayern München,men,bundesliga-away-block,"Bundesliga away requests, one pre-season block","early July, once the fixture list is out",2027-28,inferred,user-supplied,,2026-09-19,https://fcbayern.com/de/tickets/info/anfragen-fuer-die-neue-saison-2026-2027;https://fcbayern.com/de/tickets,"ALL BUNDESLIGA AWAY FIXTURES IN ONE WINDOW, which is what makes this the row worth missing least: miss it and the whole away season goes, not one match. The mechanism is Alexandru's own, from football-rules.json: ""ALL Bundesliga away fixtures for the season requested in ONE pre-season window. Once a fixture shows Overbooked the request option disappears."" THE MONTH CHANGED ON 2026-09-19, from late June to early July, and not because a new source was found. It changed because the old late-June estimate was covering both clocks at once, and once they were separated this one had to follow the fixture list rather than the season's end: a request naming a specific away ground cannot be made before the schedule exists, and the DFL did not publish the 26/27 list until 2 July 2026. Alexandru's own football-rules.json says the same thing from the other side - its fcb-away-window-2026 event tells him to ""Check tickets.fcbayern.com from early July 2027"" and puts the close at 27 July. So this cell is his own figure moved into this file, not a new one invented here, which is why basis is user-supplied. IF HE DISAGREES, THE CELL IS HIS: nothing published was read for this window, and the club's own page for it (anfragen-fuer-die-neue-saison-2026-2027, dated 2 June 2026) has no Internet Archive snapshot at all - the CDX index answered with an empty list - so it is unread and probably always will be. pastCycle is deliberately blank: the only record of the 26/27 away block is that same football-rules.json event, which carries dateSource inferred itself, so there is no past window written down anywhere to reason from. A blank pastCycle is this file saying exactly that, rather than dressing up an estimate as a read source.",,,,
Q15789,FC Bayern München,men,away-season-ticket,Away season ticket (Auswaerts-Dauerkarte) ordering cycle,"late May, when the club says it will announce it",2027-28,confirmed,published,"2026-27: ""Die Bestellfrist fuer die Auswaerts-Dauerkarte Saison 2026/27 endete, wie vorab kommuniziert, am 28.05.2026""; Zu- und Absagen ""Anfang Juni"" 2026.",2026-09-19,https://fcbayern.com/de/tickets/auswaerts-dauerkarte,"THE ONE WINDOW IN THIS FILE THAT CAN HONESTLY SAY confirmed, and the reason is narrow: the club states its own NEXT cycle in writing. From the Auswaerts-Dauerkarte page, read from an Internet Archive copy captured 2026-06-13 because fcbayern.com answers HTTP 403 and was not retried: ""Ende Mai 2027 informieren wir Sie dann gerne wieder ueber Bestellmoeglichkeiten fuer die Saison 2027/28."" That is a published claim about a FUTURE window rather than a pattern reasoned from a past one, which is exactly what dateSource confirmed and basis published mean. WHAT IS CONFIRMED IS NARROWER THAN THE ROW MAY LOOK. The club says it will INFORM members at the end of May 2027. It does not say the ordering window opens then and it does not say when it closes. So late May is when to start watching, not a deadline - and no deadline is written anywhere in these files. THE 26/27 CYCLE, from the same page: the order deadline ""endete, wie vorab kommuniziert, am 28.05.2026"" with Zu- und Absagen ""Anfang Juni"". WHAT THE ADK IS: a separate product from the per-match away requests in bundesliga-away-block, and not a substitute for them. It requires BOTH membership AND a home Jahreskarte, covers 17 Bundesliga away matches, and does NOT renew automatically - so it has to be re-ordered every year, which is what this row exists to catch.",,,,
Q15789,FC Bayern München,men,ucl-league-phase,Champions League league-phase requests,"after the league-phase draw, late August",2027-28,inferred,observed-past-cycle,"2026-27: draw held 27 Aug 2026, requests opened after it",2026-09-19,https://fcbayern.com/de/news/ticketing/2026/ticket-anfragen-uefa-champions-league-ligaphase-2026-27,"PATTERN ESTIMATE, NOT A DEADLINE. It says roughly when this recurring window has tended to open, so that a reminder can be set; it is not the cutoff for any particular match, and no cutoff date is written anywhere in these files. This one is anchored to an EVENT rather than to a calendar date, which makes it the more reliable of the three: the league-phase opponents are not known until the draw, so requests cannot sensibly open before it. The draw moves by a few days from year to year, so late August is the pattern, not a promise. The club's own news item for the 26/27 cycle is in the source column and could not be read from here (HTTP 403, AkamaiGHost); the 27 Aug 2026 draw date is from secondary reporting, so confirm before relying on it. CORROBORATED 2026-09-19 and the mechanism now has the club's own words behind it. A second source gives the same shape from outside - the league-phase draw on 27 Aug 2026, and match-specific requests from 29 Aug 2026, the day UEFA published the schedule - and the club's Jahreskarten page, read from an Internet Archive copy captured 2026-06-08, confirms it from inside: requests go in the Ticket-Anfrageportal 'bereits vor einer Saison', and 'die Tickets werden im Losverfahren ca. 6 Wochen vor jedem Spiel vergeben'. It also says a request can be lodged before the opponent is known, which is exactly the blind matchday slot football-rules.json describes. The draw DATE is still secondary reporting, so dateSource stays inferred.",,,,
Q15786,1. FC Nürnberg,men,home-single-match,"Home single-match tickets, three phases",once the DFL sets the exact kickoff,2026-27,confirmed,published,"2026-27 Wolfsburg home game: members 10.09 11:00, DK/OFCN 16.09 10:00, free sale 17.09 10:00",2026-09-23,https://fcn.de/news/artikel/tickets-fuer-heimspiele-des-1-fcn-hier-laeuft-der-vorverkauf/;https://fcn.de/fileadmin/fcn/red/saison_26/Downloads/pdf/VVK_Heimspiel_Hinrunde_202627.pdf,"A PUBLISHED RULE WITH NO CALENDAR DATE. Sales open only after the DFL sets the kickoff; unscheduled games are listed as 'Veröffentlichung nach Terminierung' (N-3). The three phases, in order, are in club-ticket-phases.csv. The Wolfsburg dates are the PDF's own example and are past.",general,,N-2;N-3,N3;N4
Q15786,1. FC Nürnberg,men,derby-home,"Frankenderby home leg v Greuther Fürth, three phases","when the DFL schedules Matchday 19, which the PDF estimates for late November or early December",2026-27,inferred,observed-past-cycle,"2025-26: the DFL scheduled the December 2025 derby on 5 Nov 2025 and member presale opened the same day, about 32 days before kickoff",2026-09-23,https://fcn.de/news/artikel/derby-am-sonntag-rueckrundenauftakt-samstags/,"PATTERN ESTIMATE, NOT A DEADLINE. The estimate (N-19) is INFERENCE; the precedent it reasons from (N-18) is VERIFIED. The PDF's trigger to watch is the DFL scheduling of Matchday 19. The derby is also the first Rückrunde home game this season, so single sales may be delayed while the half-season ticket is on sale - see rueckrunde-half-season-ticket. No fixed cutoff and no ballot (N-18). The fixture date itself is not written here: rule 1 puts it in football-rules.json, where it already is.",derby-home,Q153539,N-18;N-19,N14
Q15786,1. FC Nürnberg,men,rueckrunde-half-season-ticket,Half-season ticket (Rückrunden-Dauerkarte),November,2026-27,inferred,observed-past-cycle,2025-26: fcn.de article 'Ab sofort für Mitglieder erhältlich: Die Rückrunden-Dauerkarte' dated 30 Oct 2025,2026-09-23,https://fcn.de/news/artikel/ab-sofort-fuer-mitglieder-erhaeltlich-die-rueckrunden-dauerkarte/;https://fcn.de/news/artikel/derby-am-sonntag-rueckrundenauftakt-samstags/,"INFERENCE (N-20). Sold members first, then DK/OFCN, then free sale. Last season single tickets for the first Rückrunde home game were withheld while it was on sale; this season the derby IS the first Rückrunde home game, so single derby sales may be delayed. A SMALL TENSION IN THE PDF, left as printed: it says 'sold in November', and its own source N15 is dated 30 Oct 2025 and headed 'ab sofort' (from now on).",general,,N-20,N15;N14
Q631,FC Internazionale Milano,men,derby-home,"Derby della Madonnina home leg v AC Milan, eight phases",early to mid January,2026-27,inferred,observed-past-cycle,"2025-26 (derby played 23 Nov 2025): first phase opened Mon 20 Oct 2025, 34 days before kickoff; last phase Tue 28 Oct 2025; max 2 tickets",2026-09-23,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/it/biglietti/abbonamenti,"PATTERN ESTIMATE, NOT A DEADLINE (I-9, INFERENCE). All eight 2025-26 phases, in order, with their dates, are in club-ticket-phases.csv. The PDF: watch inter.it's Tickets news from early January 2027. The fixture date itself is not written here. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them.",derby-home,Q1543,I-9,I2;I6
Q631,FC Internazionale Milano,men,season-ticket-resale,"Official resale of season-ticket seats (four big matches, Milan included)",no later than 72 hours before kickoff,2026-27,confirmed,published,,2026-09-23,https://inter.it/en/faq;https://inter.it/it/biglietti/abbonamenti,"A PUBLISHED RULE RELATIVE TO KICKOFF, NOT A DATE. Anyone can buy at the current sale price. The PDF calls it the late-stage route. pastCycle is blank because the PDF gives no past instance. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them.",general,,I-21,I3;I6
