clubQid,name,country,tier,venue,capacity,lat,lon,ticketUrl,source,note,_ours,_stadiumdb,_osm,_sdbGround,_sdbCity,_sdbClub,_sdbUrl,_match,_candidates,_verdict
Q101959,Borussia Mönchengladbach,DE,,,,,,,,,59749,54042,,Borussia Park,Mönchengladbach,Borussia,https://stadiumdb.com/stadiums/ger/borussia_park,name-contained+city,,sources differ by 10%
Q153539,SpVgg Greuther Fürth,DE,,,,,,,,,18500,16626,,Sportpark Ronhof,Fürth,SpVgg Greuther Fürth,https://stadiumdb.com/stadiums/ger/playmobil_stadion,name-exact+city,,sources differ by 10%
Q105861,VfL Bochum,DE,,,,,,,,,29299,26000,,Vonovia Ruhrstadion,Bochum,VfL Bochum,https://stadiumdb.com/stadiums/ger/ruhrstadion,name-exact+city,,sources differ by 11%
Q702455,RB Leipzig,DE,,,,,,,,,42000,47800,,Red Bull Arena,Leipzig,RB Leipzig,https://stadiumdb.com/stadiums/ger/zentralstadion_leipzig,name-exact+city,,sources differ by 12%
Q155730,1. FC Magdeburg,DE,,,,,,,,,30098,25910,,Avnet Arena,Magdeburg,Magdeburg,https://stadiumdb.com/stadiums/ger/stadion_magdeburg,name-contained+city,,sources differ by 14%
Q38245,Eintracht Frankfurt,DE,,,,,,,,,51500,60100,,Deutsche Bank Park,Frankfurt,Eintracht Frankfurt,https://stadiumdb.com/stadiums/ger/waldstadion_frankfurt,name-exact+city,,sources differ by 14%
Q695008,FC Viktoria Köln,DE,,,,,,,,,8343,10000,,Sportpark Höhenberg,Cologne,Viktoria,https://stadiumdb.com/stadiums/ger/sportpark_hohenberg,name-contained+ground,,sources differ by 17%
Q137499,FC 08 Homburg,DE,,,,,,,,,21813,16488,,Waldstadion Homburg,Homburg,FC Homburg,https://stadiumdb.com/stadiums/ger/waldstadion_homburg,name-contained+city,,sources differ by 24%
Q162251,1. FC Heidenheim 1846,DE,,,,,,,,,10001,15000,,Voith-Arena,Heidenheim,1. FC Heidenheim,https://stadiumdb.com/stadiums/ger/voith_arena,name-contained+city,,sources differ by 33%
Q155452,TuS Koblenz,DE,,,,,,,,,9500,15000,,Stadion Oberwerth,Koblenz,TuS Koblenz,https://stadiumdb.com/stadiums/ger/stadion_oberwerth,name-exact+city,,sources differ by 37%
Q665920,VfB Lübeck,DE,,,,,,,,,10434,17869,,Lohmühle,Lübeck,VfL Lübeck,https://stadiumdb.com/stadiums/ger/lohmuhle,name-contained+city,,sources differ by 42%
