leagueQid,tier,label,country,clubsSeen
Q1231323,,Liga Națională,RO,13
Q5284652,,Liga Națională,RO,8
Q3712183,,Liga I,RO,7
Q1824566,,Liga a IV-a,RO,6
Q18547858,,Liga a IV-a Sibiu,RO,6
Q6970342,,RoBowl,RO,5
Q12732182,,Liga A Prahova,RO,4
Q12732211,,Liga a IV-a Buzău,RO,4
Q18548570,,Liga a IV-a Timiș,RO,4
Q2952038,,Liga I Feminin,RO,4
Q12732204,,Liga a IV-a Bihor,RO,3
Q12732205,,Liga a IV-a Constanța,RO,3
Q12732209,,Liga a IV-a București,RO,3
Q12732224,,Liga a IV-a Ialomița,RO,3
Q12732227,,Liga a IV-a Mureș,RO,3
Q12732231,,Liga a IV-a Vâlcea,RO,3
Q12732203,,Liga a IV-a Alba,RO,2
Q12732207,,Liga a IV-a Brăila,RO,2
Q12732210,,Liga a IV-a Cluj,RO,2
Q12732212,,Liga a IV-a Argeș,RO,2
Q12732213,,Liga a IV-a Caraș-Severin,RO,2
Q12732214,,Liga a IV-a Galați,RO,2
Q12732218,,Liga a IV-a Călărași,RO,2
Q12732220,,Liga a IV-a Gorj,RO,2
Q12732223,,Liga a IV-a Hunedoara,RO,2
Q12732225,,Liga a IV-a Ilfov,RO,2
Q12732229,,Liga a IV-a Olt,RO,2
Q12732230,,Liga a IV-a Satu Mare,RO,2
Q1756562,,Divizia A1 de volei feminin,RO,2
Q18538278,,Liga a IV-a Brașov,RO,2
Q18541340,,Liga a IV-a Bacău,RO,2
Q18548729,,Liga a IV-a Tulcea,RO,2
Q305104,,Liga Națională de hochei,RO,2
Q821999,,Liga Națională,RO,2
Q1049208,,Liga MOL,RO,1
Q1050620,,Liga a V-a,RO,1
Q106977877,,Liga I,RO,1
Q106977879,,Liga II,RO,1
Q1136446,,SuperLiga,RO,1
Q12732217,,Liga a IV-a Covasna,RO,1
Q12732219,,Liga a IV-a Giurgiu,RO,1
Q12732228,,Liga a IV-a Mehedinți,RO,1
Q18541339,,Liga a IV-a Arad,RO,1
Q18541351,,Liga a VI-a,RO,1
Q18541679,,Liga a IV-a Maramureș,RO,1
Q18548358,,Liga a IV-a Sălaj,RO,1
Q18549264,,Liga a IV-a Vrancea,RO,1
Q18549770,,Liga a IV-a Teleorman,RO,1
Q257400,,ABA League,RO,1
Q30668116,,Liga I Feminin,RO,1
Q456092,,Eurocupa ULEB,RO,1
Q5194425,,Cupa României,RO,1
Q5282797,,dizolvare,RO,1
Q55452861,,Liga a V-a Dolj,RO,1
Q61974506,,Liga a V-a Suceava,RO,1
Q6545746,,Liga I (futsal),RO,1
