leagueQid,tier,label,country
Q82595,1,Bundesliga,DE
Q152665,2,2. Bundesliga,DE
Q154069,3,3. Liga,DE
Q322128,4,Regionalliga Suedwest,DE
Q548937,4,Regionalliga Nordost,DE
Q555836,4,Regionalliga West,DE
Q340179,4,Regionalliga Bayern,DE
Q539678,4,Regionalliga Nord,DE
Q237753,1,SuperLiga Romaniei,RO
Q386384,2,Liga a II-a,RO
Q1707697,3,Liga a III-a,RO
Q2188121,4,Regionalliga (the generic fourth-division item),DE
Q13394,1,Ligue 1,FR
Q217374,2,Ligue 2,FR
Q15804,1,Serie A,IT
Q194052,2,Serie B,IT
Q202699,1,Super League,CH
Q669073,2,Challenge League,CH
