sourceId,club,country,publisher,publisherKind,title,published,url,urlComplete,document,note
N1,1. FC Nürnberg,,DFL,league,Spielplan 2. Bundesliga 2026/27 (PDF),2 Jul 2026,https://media.dfl.de/sites/2/2026/07/DE_mgKX2qjj_2.-Bundesliga_Spielplan_2026_27.pdf,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
N2,1. FC Nürnberg,,fcn.de,club,Derbysieger! Club gewinnt das 277. Frankenderby,15 Aug 2026,https://fcn.de/news/artikel/derbysieger-club-gewinnt-das-277-frankenderby/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",Listed in the PDF's sources but not cited by any numbered rule; it supports the fixture table (first leg played in Fürth on 15 Aug 2026).
N3,1. FC Nürnberg,,fcn.de,club,Tickets für Heimspiele des 1. FCN: Hier läuft der Vorverkauf,current (undated in the PDF),https://fcn.de/news/artikel/tickets-fuer-heimspiele-des-1-fcn-hier-laeuft-der-vorverkauf/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",The per-home-game presale article the club keeps updated.
N4,1. FC Nürnberg,,fcn.de,club,Vorverkaufsstarts Heimspiele Hinrunde 2026/27 (PDF),,https://fcn.de/fileadmin/fcn/red/saison_26/Downloads/pdf/VVK_Heimspiel_Hinrunde_202627.pdf,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
N5,1. FC Nürnberg,,fcn.de,club,Mitgliedschaft: Beiträge,,https://fcn.de/der-club/fans-mitgliedschaft/mitgliedschaft/beitraege/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
N6,1. FC Nürnberg,,fcn.de,club,Tickets hub,,https://fcn.de/tickets/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
N7,1. FC Nürnberg,,fcn.de,club,"Heimspiele page (fees, Ticketbörse) and Preislisten 26/27 (PDF)",,https://fcn.de/tickets/heimspiele/;https://fcn.de/fileadmin/fcn/red/saison_26/Downloads/pdf/Preislisten_26-27.pdf,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)","One source code, two URLs, exactly as the PDF lists it: the Heimspiele page and the 2026/27 price list PDF."
N8,1. FC Nürnberg,,fcn.de,club,Ticket newsletter confirmation,,https://fcn.de/tickets/ticket-newsletter-anmeldung/anmeldung/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",The newsletter sign-up/confirmation page.
N9,1. FC Nürnberg,,fcn.de,club,Orga-Hinweise zum 275. Frankenderby,5 Dec 2025,https://fcn.de/news/artikel/fuer-stadionbesucher-orga-hinweise-zum-275-frankenderby/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
N10,1. FC Nürnberg,,nordbayern.de,press,Frankenderby: Tickets nur gegen Ausweis,undated,https://nordbayern.de/sport/frankenderby-tickets-nur-gegen-ausweis-1.6510373,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",The PDF itself calls this source older and undated.
